name,category,description,retail_price,bulk_price,bulk_min_qty,is_bulk_available,featured,stock_status,variants
5m LED Solar Powered Outdoor Hanging Bulb Socket String Lights Warm White - 10-Bulb,solar,"LED Solar Powered Outdoor Hanging Bulb Socket String Lights Warm White, are powered by solar energy, utilizing a solar panel to harness sunlight during the day and convert it into electricity for night-time illumination. Designed for outdoor use, these string lights are weatherproof and built to withstand various outdoor conditions, including rain, snow and extreme temperatures. The lights feat...",499,,,true,false,in_stock,
"TV Wall Bracket for 26-63"" Ultra-Slim TV Bracket with Spirit Level, 50kg Capacity, Max VESA: 400x400mm",accessories,Features - Flush Flat Fitment Against Wall. Suitable for Between 26 - 63 Inch TV's. Upto 50kg Load Capacity.,325,,,true,false,in_stock,
Aiwa 40 Pieces Combination Socket Wrench Set,accessories,"Description; Elevate your mechanical prowess with the 40-Piece Combination Socket Wrench Set, a comprehensive toolkit designed to meet the diverse needs of professionals and DIY enthusiasts alike. This set is a game-changer, offering a wide range of tools including ratchet sockets, spanners, combination wrenches, and more, totaling 40 pieces to handle a multitude of repair and maintenance tasks...",185,,,true,false,in_stock,
COLORFUL KARAOKE PORTABLE RGB MINI SPEAKER,accessories,"Elevate your karaoke nights with the COLORFUL KARAOKE SOUND SYSTEM. Combining vibrant LED lights with exceptional audio quality, this system provides an immersive singing experience tailored for all ages. As a top-tier online electric motor store.",199,,,true,false,in_stock,
Creative Folding Laptop Bracket,accessories,"Discover the innovative Creative Folding laptop bracket. This sleek and durable bracket offers optimal ergonomics, ensuring that your laptop is always at the perfect viewing angle, reducing strain as you work or play. Easily foldable and portable, it's perfect for professionals and students on the move.",185,,,true,false,in_stock,
GLOW GAME KEYBOARD AND MOUSE GAMING SUITE WITH RGB BACKLIGHT,accessories,"Get ready to elevate your gaming experience with the WEIBO Keyboard and Mouse Gaming Suite with RGB backlight. Designed for peak performance, this high-quality suite combines vibrant RGB lighting with ergonomic design to ensure long-lasting comfort and precision. Whether you're battling in an online arena or diving into new adventures.",599,,,true,false,in_stock,
SPRAY COOLING MISTING FAN (PINK),accessories,"Beat the heat with our innovative SPRAY COOLING MISTING FAN. Perfect for any setting, this fan combines powerful airflow with a refreshing mist to keep you cool on even the hottest days. Experience ultimate relaxation with its easy-to-use controls and portable design.",320,,,true,false,in_stock,
LED CAMPING MULTIFUNCTION FISHLIGHT WITH RF WIRELESS REMOTE CONTROL,accessories,"Experience the ultimate convenience and illumination with the LED Camping Multifunction Fishlight with RF Wireless Remote Control. Perfect for avid campers and fishing enthusiasts, this versatile light offers multiple modes to suit any adventure. Its RF wireless remote control ensures effortless operation, even from a distance, making your outdoor activities more enjoyable.",595,,,true,false,in_stock,
CJ MOBILE POWER BANK WITH INTELLIGENT SAFETY PROTECTION,chargers,"Elevate your mobile charging experience with the CJ MOBILE POWER BANK WITH INTELLIGENT SAFETY PROTECTION. Designed for reliability and efficiency, this sleek power bank ensures your devices stay powered with advanced safety features to prevent overheating and overcharging. Perfectly suited for those on the go, its compact size and high capacity make it an indispensable tool in our tech-savvy wo...",490,,,true,false,in_stock,
"KITCHEN IDEAS HAND OPERATED 16PCS VEGITABLE SLICER, DICER, AND VEGGIE GRATER",accessories,"Transform your kitchen experience with the KITCHEN IDEAS HAND OPERATED 16PCS VEGETABLE SLICER, DICER, AND VEGGIE GRATER! This versatile tool simplifies meal prep, allowing you to effortlessly slice, dice, and grate your favorite vegetables. Perfect for anyone who values convenience and efficiency in their culinary adventures.",480,,,true,false,in_stock,
