name,category,description,retail_price,bulk_price,bulk_min_qty
C15-25-1 80*80 Thermal Receipt Paper Roll,accessories,Standard 80x80mm thermal paper roll for POS cash registers and receipt printers. Smooth coating ensures clear smudge-free prints.,35,12,50
C15-25-2 57*40 Thermal Receipt Paper Roll,accessories,Compact 57x40mm thermal roll compatible with most portable and countertop receipt printers. High-sensitivity coating for crisp print quality.,7,2.5,400
C15-25-3 50m x 4.5cm Clear Packaging Tape,accessories,Strong 50-metre clear adhesive tape ideal for sealing boxes and parcels. Reliable adhesion on cardboard and plastic surfaces.,18,6,72
C15-25-4 100m x 4.5cm Clear Packaging Tape,accessories,Heavy-duty 100-metre clear packaging tape for high-volume packing and shipping. Long roll reduces roll changes on busy packing lines.,28,10,72
C15-25-5 200m x 4.5cm Clear Packaging Tape,accessories,Wide-core 200-metre clear tape offering extra bonding strength for heavy cartons. Suitable for industrial and retail packaging use.,45,16.5,60
C15-25-6 300m x 4.5cm Clear Packaging Tape,accessories,Extended 300-metre tape roll for warehouses and fulfilment centres. Excellent tensile strength and temperature-resistant adhesive.,65,24,24
C15-25-7 Mouse & Rat Glue Trap Board 70g,household,Powerful 70g adhesive glue board traps mice and rats without poison. Safe for use in kitchens storerooms and food-handling areas.,10,3.5,50
C15-25-8 C·T Large Mosquito Coil,household,Large-format mosquito coil that burns for up to 8 hours producing low-smoke repellent. Effective against mosquitoes in open and semi-open spaces.,20,7,60
C15-25-9 C·T Small Mosquito Coil,household,Compact mosquito coil ideal for smaller rooms and travel use. Burns steadily for 6-7 hours with minimal smoke and effective repellent action.,18,6.5,60
C15-25-10 Paper Mosquito Coil,household,Plant-fibre mosquito coil with a natural low-smoke formula. Each coil provides approximately 7 hours of continuous mosquito protection.,20,7,60
C15-25-11 Mosquito Coil Tray (Plastic),household,Lightweight plastic mosquito coil holder with ventilated top cover. Keeps coils stable and catches ash safely for indoor and outdoor use.,8,3,200
C15-25-12 Mosquito Coil Tray (Metal Decorative),household,Ornate metal coil tray with decorative cut-out pattern and hinged lid. Stylish ash catcher suitable for home and patio use.,20,7,200
C15-25-13 Blue Toilet Bubble Cleaner 4-Pack,household,Pack of 4 blue toilet cistern blocks that fizz with every flush preventing limescale and leaving a fresh scent. Lasts up to 4-6 weeks per block.,20,7,240
C15-25-14 Blue Toilet Bubble Cleaner 2-Pack,household,Twin-pack toilet cistern cleaner blocks for continuous freshness and stain prevention. Easy drop-in installation with no mess or tools required.,10,3.5,240
C15-25-15 Fly Glue Board,household,Large sticky fly glue board traps houseflies gnats and flying insects without chemicals. Ideal for kitchens restaurants and food stores.,5,2,1000
C15-25-16 Cockroach Killing Bait Powder,household,Green Killer cockroach bait powder that attracts and eliminates cockroaches within 24-72 hours. Safe to use in cracks corners and behind appliances.,110,40,1000
C15-25-17 Ant Killing Bait Powder,household,Green Tree ant killing bait powder that worker ants carry back to the colony eliminating the nest. Effective indoors and outdoors on all common ant species.,110,40,2000
C15-25-18 Camphor Pearl Balls 100g,household,100g pack of scented camphor balls that repel moths silverfish and musty odours in wardrobes and storage boxes. Long-lasting formula.,14,5,150
C15-25-19 Foam Double-Sided Mounting Tape 7.8cm,accessories,Strong double-sided foam mounting tape for attaching pictures mirrors and decorations to walls without drilling. Removable and residue-free on most surfaces.,10,3.5,576
